id,code,area_group,district,level_from,level_to,category,name,name_short,area,url,status,yml,json
1,335,Oahu,Windward,K,6,DOE,'Ahuimanu Elementary,Ahuimanu El,Castle-Kahuku,,,"---
:site_contact:
  :street: 47-470 Hui Aeko Place
  :city: Kaneohe
  :state: HI
  :postal_code: ""96744""
  :phone: 239-3125
  :fax: 239-3127
  :principal_last_name: Scoville
  :principal_first_name: Randolph
",
2,200,Oahu,Central,K,6,DOE,'Aiea Elementary,Aiea El,Aiea-Moanalua-Radford,,,"---
:site_contact:
  :street: 99-370 Moanalua Road
  :city: Aiea
  :state: HI
  :postal_code: ""96701""
  :phone: 483-7200
  :fax: 483-7201
  :principal_last_name: O'Malley
  :principal_first_name: Kathleen
",
3,202,Oahu,Central,9,12,DOE,'Aiea High,Aiea High,Aiea-Moanalua-Radford,,,"---
:site_contact:
  :street: 98-1276 Ulune Street
  :city: Aiea
  :state: HI
  :postal_code: ""96701""
  :phone: 483-7300/483-7301
  :fax: 483-7303
  :principal_last_name: Tokioka
  :principal_first_name: Michael
",
4,201,Oahu,Central,7,8,DOE,'Aiea Intermediate,Aiea Int,Aiea-Moanalua-Radford,,,"---
:site_contact:
  :street: 99-600 Kulawea Street
  :city: Aiea
  :state: HI
  :postal_code: ""96701""
  :phone: 483-7230
  :fax: 483-7235
  :principal_last_name: Kurashige
  :principal_first_name: Tom
",
5,300,Oahu,Windward,K,6,DOE,'Aikahi Elementary,Aikahi El,Kailua-Kalaheo,,,"---
:site_contact:
  :street: 281 Ilihau Street
  :city: Kailua
  :state: HI
  :postal_code: ""96734""
  :phone: 254-7944
  :fax: 254-7962
  :principal_last_name: Kong
  :principal_first_name: Gay
",
6,100,Oahu,Honolulu,K,5,DOE,'Aina Haina Elementary,Aina Haina El,Farrington-Kaiser-Kalani,,,"---
:site_contact:
  :street: 801 W. Hind Drive
  :city: Honolulu
  :state: HI
  :postal_code: ""96821""
  :phone: 377-2419
  :fax: 377-2426
  :principal_last_name: Burns
  :principal_first_name: Brendan
",
7,101,Oahu,Honolulu,K,5,DOE,Ala Wai Elementary,Ala Wai El,Kaimuki-McKinley-Roosevelt,,,"---
:site_contact:
  :street: 503 Kamoku Street
  :city: Honolulu
  :state: HI
  :postal_code: ""96826""
  :phone: 973-0070
  :fax: 973-0081
  :principal_last_name: Wong
  :principal_first_name: Sean
",
8,203,Oahu,Central,K,6,DOE,Aliamanu Elementary,Aliamanu El,Aiea-Moanalua-Radford,,,"---
:site_contact:
  :street: 3265 Salt Lake Boulevard
  :city: Honolulu
  :state: HI
  :postal_code: ""96818""
  :phone: 421-4280/421-4281
  :fax: 421-4283
  :principal_last_name: Kamemoto
  :principal_first_name: Valarie
",
9,204,Oahu,Central,7,8,DOE,Aliamanu Middle,Aliamanu Middle,Aiea-Moanalua-Radford,,,"---
:site_contact:
  :street: 3271 Salt Lake Boulevard
  :city: Honolulu
  :state: HI
  :postal_code: ""96818""
  :phone: 421-4100
  :fax: 421-4103
  :principal_last_name: Eggleston
  :principal_first_name: Robert
",
10,102,Oahu,Honolulu,K,5,DOE,Ali'iolani Elementary,Aliiolani El,Kaimuki-McKinley-Roosevelt,,,"---
:site_contact:
  :street: 1240 7th Avenue
  :city: Honolulu
  :state: HI
  :postal_code: ""96816""
  :phone: 733-4750
  :fax: 733-4758
  :principal_last_name: Miyamoto
  :principal_first_name: Len
",
11,103,Oahu,Honolulu,K,12,DOE,Kula Kaiapuni 'O Anuenue,Anuenue,Kaimuki-McKinley-Roosevelt,,,"---
:site_contact:
  :street: 2528 10th Avenue
  :city: Honolulu
  :state: HI
  :postal_code: ""96816""
  :phone: 733-8465
  :fax: 733-8467
  :principal_last_name: Naumu
  :principal_first_name: Charles
",
